機種名,thumbnail_image_url,sub_image_url,メーカー名,機械割,導入開始日,機種概要
マシマシ-30,https://p-town.dmm.com/upload/machines/3198/image.jpg?t=1530873359,https://p-town.dmm.com/upload/machines/3198/image.jpg?t=1530873359,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,97% 〜 110%,2018/08/27(月),「マシマシ」はボーナスと擬似ボーナスの両方を搭載。ボーナスはBIG（204枚）とREG（54枚）の2種類あり、終了後はいずれもマシマシボーナス（擬似ボーナス）に突入する仕組みだ。マシマシボーナスは、純増約1.3枚/G（ボーナス込み）、30Gor次回ボーナス当選まで継続。  ボーナス＋マシマシボーナス確率合算が1/59〜1/47（設定1〜6）と当たりやすいところも魅力的といえる。
パチスロ蒼き鋼のアルペジオ-アルス・ノヴァ-MentalModelver.,https://p-town.dmm.com/upload/machines/3172/image.jpg?t=1529382623,https://p-town.dmm.com/upload/machines/3172/image.jpg?t=1529382623,サミー  サミーの掲載機種一覧,97.9% 〜 111.1% ※ 完全攻略時,2018/08/20(月),ボーナス合算確率は1/162.2〜1/130.0（設定1〜6）と、GRT史上もっとも当たりやすい本機。RTはボーナス後に必ず突入し、無限、100G、50Gの3種類。RT50G中はBAR揃いを引くことでボーナスor無限RTへ昇格する。  ボーナス確率が高いので、RTとボーナスがループしやすく、まとまった出玉を得る機会の多さが魅力的。新要素が数多く加わった演出面も、注目しておきたいポイントだ。
トリプルクラウンX‐30,https://p-town.dmm.com/upload/machines/3243/image.jpg?t=1535016204,https://p-town.dmm.com/upload/machines/3243/image.jpg?t=1535016204,清龍ジャパン（メーカー公式サイト）  清龍ジャパンの掲載機種一覧,96.5% 〜 110.0%,2018/08/20(月),プレミアム点滅やフリーズ、多数の違和感など、搭載されたプレミアム演出はシリーズ最多。前作までに比べ、出現率が大幅にアップしているところも楽しいポイントといえる。  通常時はもちろん、ボーナス中にもアツくなれる秘密がいっぱいあるので、細かい部分にまでしっかりと目を凝らしておこう。  期待の大型新人のデビューから目を離すな！
ルーレットクイーン-女神の羅針盤-,https://p-town.dmm.com/upload/machines/3183/image.jpg?t=1530867684,https://p-town.dmm.com/upload/machines/3183/image.jpg?t=1530867684,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.6% 〜 110.1%,2018/08/20(月),超巨大なルーレット役モノが抜群のインパクトを放つ「ルーレットクイーン-女神の羅針盤-」。おもにボーナスやチャンスゾーン経由で突入するARTは、1セット30G〜300G＋α。レア役やボーナスでゲーム数を上乗せしながらロング継続を目指していくゲーム性となっている。継続率の要素もあり、ボーナス成立で昇格のチャンス。最大の100%まで到達できれば、エンディングが確定する。
パチスロウィザード・バリスターズ～弁魔士セシル,https://p-town.dmm.com/upload/machines/3154/image.jpg?t=1525766917,https://p-town.dmm.com/upload/machines/3154/image.jpg?t=1525766917,オーイズミ（メーカー公式サイト）  オーイズミの掲載機種一覧,97.8% 〜 109.1%,2018/08/06(月),スペックはボーナス＋ARTタイプで、通常時はボーナスやCZからARTを目指す仕様。ART1Gあたりの純増はボーナス込みで約1.8枚、ART中は約1/99で突入する魔法廷ラッシュ（特化ゾーン）が、ゲーム数上乗せのメインとなる。ART中のボーナスも重要で、とくにREGは強力な特化ゾーンとして活躍。ART性能のすべてをラッシュに集約させた「ラッシュ開廷システム」が、プレイヤーを勝利に導く。
クレアの秘宝伝女神の夢と魔法の遺跡,https://p-town.dmm.com/upload/machines/3199/image.jpg?t=1530519279,https://p-town.dmm.com/upload/machines/3199/image.jpg?t=1530519279,パオン・ディーピー（メーカー公式サイト）  パオン・ディーピーの掲載機種一覧,98.0% 〜 108.4%,2018/08/06(月),パワーアップしたクレアはBIG中とRT中だけでなく、通常時の演出も選択可能。全部で7つある歴代大都機種の中から選んだカスタムによって、高確率中をはじめ、さまざまな演出がガラッと変化する。お気に入りのカスタムで遊ぶもよし、日替わりで遊ぶもよしと、何度遊んでも飽きない演出の多さが、大きな魅力と言えるだろう。
クロノス～刻の支配者～,https://p-town.dmm.com/upload/machines/3182/image.jpg?t=1529060696,https://p-town.dmm.com/upload/machines/3182/image.jpg?t=1529060696,ベルコ（メーカー公式サイト）  ベルコの掲載機種一覧,97.0% 〜 108.0%,2018/08/06(月),純増約2.0枚/GのARTを搭載したボーナス＋ARTタイプ。通常時はレア役やボーナスからCZを経由し、ARTに突入させるゲーム性だ。  2段階構成のARTは1段階目が33GのST型で、レア役やボーナスから2段階目への昇格を目指す。2段階目はループ率＆ストック管理型となり、ボーナスでストックを消費。ストックがない時のボーナス終了時にループ率による継続抽選をおこない、漏れた場合は1段階目に移行する。
TOWSER,https://p-town.dmm.com/upload/machines/3187/image.jpg?t=1529571281,,JPS（メーカー公式サイト）  JPSの掲載機種一覧,96.04% 〜 108.77%,2018/08/06(月),「LUCKYランプ！」が光ればボーナスと、シンプルさも魅力の「TOWSER」。ボーナスは312枚獲得できるBIGと104枚獲得できるREGの2種類で、どちらの場合も1Gで揃えられる簡単仕様となっている。  全部で80種類あるプレミアム演出が発生すればBIG濃厚、セリフの発生やリール停止音の変化など、パターンは数多く存在している。
ハイカ101,https://p-town.dmm.com/upload/machines/3205/image.jpg?t=1531111599,https://p-town.dmm.com/upload/machines/3205/image.jpg?t=1531111599,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.7% 〜 103.0%,2018/08/06(月),「ハイカ101」は101GのRTを搭載した完全告知のボーナス＋RTタイプ。ボーナスはBIGとREGの2種類があり、いずれも技術介入をおこなうことで最大枚数を獲得できる。BIG後に必ず突入するRTの純増は約0.6枚/Gとなっており、101G完走時の期待枚数はBIGと合わせると約300枚。ボーナスの引き戻し率は約52%なのでRTのループに期待できるところも魅力的といえる。
パチスロ花人-はなんちゅ-,https://p-town.dmm.com/upload/machines/3193/image.jpg?t=1530164142,https://p-town.dmm.com/upload/machines/3193/image.jpg?t=1530164142,スパイキー（メーカー公式サイト）  スパイキーの掲載機種一覧,97.8% 〜 108.0%,2018/08/06(月),1撃最大上乗せは33セットと、超絶怒涛のART継続性能が最大の魅力。基本的にボーナスから突入するARTは1セット40Gのセット数管理型で、おもに消化中のボーナスでストックを獲得していく。大量ストックの契機となる裏モードやSPモードなど、ロング継続に期待できる要素も数多く搭載。継続を祝福するナミちゃんランプや多彩な楽曲変化など、演出面にも多くの注目ポイントが用意されているぞ。
パチスロルパン三世世界解剖,https://p-town.dmm.com/upload/machines/3209/image.jpg?t=1531370216,https://p-town.dmm.com/upload/machines/3209/image.jpg?t=1531370216,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,97.30% 〜 112.40% ※ 完全攻略時,2018/08/06(月),現行機最高峰の出玉スピードが最大の魅力である「パチスロ ルパン三世 世界解剖」。出玉増加のカギとなる「ヒーローズロード」にはゲーム数や継続率、差枚数などが一切なく、ジャッジメントバトルでルパンが負けるまで継続する。消化中は超高確率でMBが成立し、14枚or15枚を獲得。大量出玉への道は、ジャッジメントバトルで負けるまでに、どれだけ多くMBを引けるかという一点に集約されている。
ストリートファイターⅤパチスロエディション,https://p-town.dmm.com/upload/machines/3173/image.jpg?t=1527905141,https://p-town.dmm.com/upload/machines/3173/image.jpg?t=1527905141,エンターライズ（メーカー公式サイト）  エンターライズの掲載機種一覧,97.8% 〜 110.5%,2018/07/23(月),純増約1.5枚/GのARTを搭載したボーナス＋ARTタイプ。通常時はベルやレア役、ボーナスから突入するCZがART当選のメインルート。ART「V-RUSH」は1セット30G＋α（AG）で、対戦キャラとのバトルに敗北するまで継続するバトルタイプとなっている。  バトル勝利時の報酬で獲得するゲーム数上乗せや特化ゾーンなどでロング継続を目指すことができる。
SLOTハイスクール・フリート,https://p-town.dmm.com/upload/machines/3169/image.jpg?t=1527755804,https://p-town.dmm.com/upload/machines/3169/image.jpg?t=1527755804,ユニバーサルブロス（メーカー公式サイト）  ユニバーサルブロスの掲載機種一覧,97.6% 〜 108.2%,2018/07/23(月),人気アニメ「ハイスクール・フリート」とのタイアップ機である本機は、純増約1.0枚/GのARTを搭載したボーナス＋ARTタイプ。ARTはおもにボーナスを契機に突入し、対戦艦を大破させれば次セットへ継続する。味方の数や対戦艦の種類で期待度は変化するが、最低でも約50%で勝利と高い継続性能が特徴のひとつだ。ボーナス期待度も高い「ピンチ！」揃いが、大量出玉へのカギを握っている。
マイジャグラーⅣ,https://p-town.dmm.com/upload/machines/3168/image.jpg?t=1527753211,https://p-town.dmm.com/upload/machines/3168/image.jpg?t=1527753211,北電子（メーカー公式サイト）  北電子の掲載機種一覧,95.7% 〜 109.4%,2018/07/23(月),ホール内で圧倒的な人気を誇るマイジャグラーシリーズの第4弾。基本的な仕様はこれまでと同様で、リールの下にあるGOGO！ランプが光ればボーナス確定だ。動いて回る「回転GOGO！」や、ギザギザが色鮮やかな「ふちどりGOGO！」など、告知パターンはさらにパワーアップ。GOGO！ランプの色で変化するボーナスサウンドの中には、「ねこふんじゃった」も搭載されている。
雷雷弁慶,https://p-town.dmm.com/upload/machines/3184/image.jpg?t=1529631473,https://p-town.dmm.com/upload/machines/3184/image.jpg?t=1529631473,ボーダー（メーカー公式サイト）  ボーダーの掲載機種一覧,97.62% 〜 110.26%,2018/07/17(火),右リールの巨大な顔目も印象的な「雷雷弁慶」。BIGとREGの2種類のボーナスで出玉を増やすシンプルな仕様となっており、設定6のボーナス合算確率が約1/119.8と高いところも魅力的だ。通常時は3つのモードから告知パターンを選べるので、楽しみ方も3倍。液晶が微妙に変化する違和感演出や、前回の大当り演出を再生できる大当りプレイバック機能など、癖になる演出も数多く搭載されている。
あっぱれ！プレゴ,https://p-town.dmm.com/upload/machines/3188/image.jpg?t=1529571883,,JPS（メーカー公式サイト）  JPSの掲載機種一覧,97.65% 〜 110.35%,2018/07/09(月),「プレゴ」グループの専用機となっており、ボーナスのみで出玉を増やすシンプルなスペック。技術介入要素などもないため、気軽に遊べる1台となっている。  ボーナス当選時はリール左の「55ランプ」点灯で告知。タイミングはレバーON時から第3停止時までの4つあり、BIG濃厚となるプレミアム演出も数多く搭載。特定の条件を満たした時だけみられる演出もあるようだ。
パチスロトータル・イクリプスLv.MAX-RT,https://p-town.dmm.com/upload/machines/3158/image.jpg?t=1526467470,https://p-town.dmm.com/upload/machines/3158/image.jpg?t=1526467470,SANKYO（メーカー公式サイト）  SANKYOの掲載機種一覧,96.9% 〜 110.0%,2018/07/09(月),最大400Gの超重量級RTを搭載したボーナス＋RTタイプ。RTのゲーム数はBIG後に移行するジャッジメントアタックで引いた突入リプレイで決まり、BIGの種類でロングRT突入の期待度が変化する。純増が約0.7枚/Gと多く、ボーナスなしでもある程度の出玉増加が見込めることも特徴的。CBではRTがリセットされないので、RT中にどれだけCBを引けるかもまとまった出玉獲得のポイントとなるだろう。
エルインカ〜黄金文明〜,https://p-town.dmm.com/upload/machines/3157/image.jpg?t=1529382595,https://p-town.dmm.com/upload/machines/3157/image.jpg?t=1529382595,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.1% 〜 114.5%,2018/07/02(月),完全攻略なら設定1でも機械割が100%オーバーの「エルインカ〜黄金文明〜」。ボーナスはSUPER BIGとBIGの2種類があり、SUPER BIG後は技術介入成功でRTに突入。BIG後はRTに突入しないが、消化中のビタ押しに成功すれば設定推測のチャンスが訪れる。REGを排除し、SUPER BIGとRTをループさせることでスピーディーな出玉増加を実現した超攻撃的なスペックといえるだろう。
パチスロ学園黙示録ハイスクール・オブ・ザ・デッド,https://p-town.dmm.com/upload/machines/3156/image.jpg?t=1526372175,https://p-town.dmm.com/upload/machines/3156/image.jpg?t=1526372175,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.6% 〜 109.2%,2018/07/02(月),本機は限界（リミット）特化型の超強力なARTが最大の特徴であるボーナス＋ARTタイプ。ARTの初期ゲーム数は特化ゾーン「アポカリプスラッシュ」で決定し、ART中も特化ゾーン突入でロング継続を目指す流れとなる。平均上乗せゲーム数約810Gを誇る「毒島無双」の存在など、多数の特化ゾーンも魅力の「パチスロ学園黙示録ハイスクール・オブ・ザ・デッド」。最高の上乗せを獲得し、ARTを限界まで生き残れ！
パチスロダンガンロンパ,https://p-town.dmm.com/upload/machines/3185/image.jpg?t=1529484095,https://p-town.dmm.com/upload/machines/3185/image.jpg?t=1529484095,ニューギン（メーカー公式サイト）  ニューギンの掲載機種一覧,97.7% 〜 106.3%,2018/07/02(月),「パチスロダンガンロンパ」は、純増約1.0枚/GのARTを搭載したボーナス＋ARTタイプ。  通常時はボーナスからARTを目指す明快なゲーム性。ARTは基本的にセット数管理型だが、ストックなしでも自力での継続に期待できる。前半はストーリーが展開し、小役でストックを抽選。後半はベルで矛盾証言者を論破すればART継続。継続時は報酬として、セット数や特化ゾーンなどを獲得できるチャンスだ。
パチスロ美ラメキ！,https://p-town.dmm.com/upload/machines/3164/image.jpg?t=1527064936,https://p-town.dmm.com/upload/machines/3164/image.jpg?t=1527064936,藤商事（メーカー公式サイト）  藤商事の掲載機種一覧,97.2% 〜 112.5%,2018/07/02(月),ハイビスカスが光ればボーナス確定と、演出はいたってシンプル。初当り後に移行する32G間の引き戻しゾーンでハイビスカスが光れば、ボーナス高確率状態の常夏チャンスへ突入する。ハイビスカスの光り方やサウンド変化など、普段と違う演出が発生すれば、引き戻しの大チャンス。シンプルな仕様ながら、大量出玉獲得への可能性を秘めた1台といえるだろう。常夏の風に誘われて、32Gのアツい時間がスタートする。
グレート６９～TOMOLER～,https://p-town.dmm.com/upload/machines/3176/image.jpg?t=1528333710,https://p-town.dmm.com/upload/machines/3176/image.jpg?t=1528333710,バルテック（メーカー公式サイト）  バルテックの掲載機種一覧,98.08% 〜 110.37%,2018/06/25(月),「パールショップともえ」のオリジナル機がバルテックから登場。ボーナスのみで出玉増加を目指すシンプルなスペックに加え、リール左下にある「TOMOEチャンスランプ」が点灯すればボーナスという、明快なゲーム性も魅力的だ。  BIG中は告知音が発生した時のみ左リールにBARを狙ってスイカを避けつつ消化。告知音がなければフリー打ちでOK。REG中は毎ゲームフリー打ちで消化しよう。
大神～回胴編～,https://p-town.dmm.com/upload/machines/3153/image.jpg?t=1525761176,https://p-town.dmm.com/upload/machines/3153/image.jpg?t=1525761176,エンターライズ（メーカー公式サイト）  エンターライズの掲載機種一覧,97.7% 〜 113.6%,2018/06/18(月),独特なタッチと世界観が印象的なゲーム「大神」がパチスロとなって登場。  スペックはボーナス＋ARTとなっており、通常時はボーナスや天井を契機にCZやARTを目指す流れとなる。  ART「天道絵巻物」は1Gあたりの純増約1.0枚、バトルに負けるまでループする自力継続率管理タイプ。消化中は後半までに筆神を集めるほど後半のバトル勝利期待度がアップするゲーム性だ。
沖ドキ！バケーション,https://p-town.dmm.com/upload/machines/3170/image.jpg?t=1527760345,https://p-town.dmm.com/upload/machines/3170/image.jpg?t=1527760345,アクロス（メーカー公式サイト）  アクロスの掲載機種一覧,96.3% 〜 110.7%,2018/06/18(月),あの「沖ドキ！」が、ボーナスタイプになって帰ってくる！  ハイビスカスが光ればボーナス確定といったシンプルな仕様だけでなく、設定6で約1/118というボーナス確率の高さも魅力的。みんな大好きカナちゃんが歌う新曲や、ハイビスカスの新たな点灯パターンなど、グレードアップした演出も注目したいポイントだ。 なお、同時期に導入開始の30パイとスペックは共通となっている。
沖ドキ！バケーション-30,https://p-town.dmm.com/upload/machines/3171/image.jpg?t=1527761055,https://p-town.dmm.com/upload/machines/3171/image.jpg?t=1527761055,アクロス（メーカー公式サイト）  アクロスの掲載機種一覧,96.3% 〜 110.7%,2018/06/18(月),30パイ仕様の「沖ドキ！バケーション」はボーナスタイプ。  ハイビスカスが光ればボーナス確定といったシンプルな仕様だけでなく、設定6で約1/118というボーナス確率の高さも魅力的。みんな大好きカナちゃんが歌う新曲や、ハイビスカスの新たな点灯パターンなど、グレードアップした演出も注目したいポイントだ。仕様は25パイとすべて共通なので、近くのホールに入った方で楽しもう。
十字架4,https://p-town.dmm.com/upload/machines/3133/image.jpg?t=1522831880,https://p-town.dmm.com/upload/machines/3133/image.jpg?t=1522831880,ネット（メーカー公式サイト）  ネットの掲載機種一覧,97.5% 〜 110.1%,2018/06/18(月),十字架シリーズ第4章として「十字架4」がボーナス+ARTタイプで登場。  今回は十字架揃いやボーナス、CZでARTを目指すゲーム性。カギを握るのは白・黒の2種類がある十字架揃いで、通常時なら前兆・ドラキュラミッション、ART中なら特化ゾーン突入など、当選したタイミングでさまざまな恩恵を得ることが可能。  一新されたキャラデザインや世界観とともに、進化したゲーム性が新たな十字架をつくりあげる。
モナスロ,https://p-town.dmm.com/upload/machines/3177/image.jpg?t=1529382449,,JPS（メーカー公式サイト）  JPSの掲載機種一覧,96.04% 〜 108.77%,2018/06/18(月),「モナコパレス」や「銀馬車」でおなじみのグループ店専用機種で、リール左側の「確定！ランプ」が光ればBIGorREGとなるシンプルなボーナスタイプ。  告知タイミングはレバーON〜第3停止時の4ヶ所あり、リプレイやチェリーとのボーナス同時当選も存在。「モナコ」や「パレス」といったオリジナリティあふれるプレミアムボイス告知も搭載している。
パチスロ黄門ちゃまＶ,https://p-town.dmm.com/upload/machines/3132/image.jpg?t=1522742850,https://p-town.dmm.com/upload/machines/3132/image.jpg?t=1522742850,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,98.1% 〜 109.1%,2018/06/04(月),前作から笑撃的進化を遂げた「パチスロ黄門ちゃまV」がボーナス+ARTタイプとして登場。  通常時はボーナスやCZを契機にARTを目指すゲーム性だ。  出玉増加の軸となるART「水戸喝ラリー」は1Gあたりの純増約0.8枚の初期ゲーム数変動型。前作の印籠チャンスを継承した選択式上乗せ特化ゾーン「ハンマープライス」など、一撃性を秘めた笑撃のトリガーが再び黄門ちゃま旋風を巻き起こす。
パチスロ貞子vs伽椰子,https://p-town.dmm.com/upload/machines/3152/image.jpg?t=1525760598,https://p-town.dmm.com/upload/machines/3152/image.jpg?t=1525760598,藤商事（メーカー公式サイト）  藤商事の掲載機種一覧,97.4% 〜 110.0%,2018/06/04(月),貞子と伽椰子のバトル映画をモチーフにした「パチスロ 貞子vs伽椰子」はボーナス＋RTタイプ。  ボーナス後に突入する1段階目のRT「バーサスチャレンジ」は、BIG後なら最大20G、REG後は最大3G継続。1段階目中に移行リプレイを引くことで2段階目のRTに突入する仕組みだ。  2段階目のRTは移行時のリプレイに応じてゲーム数が異なり、20Gor40Gor77Gのいずれかとなる。
ちゃぶ台返し,https://p-town.dmm.com/upload/machines/3140/image.jpg?t=1523946568,https://p-town.dmm.com/upload/machines/3140/image.jpg?t=1523946568,ベルコ（メーカー公式サイト）  ベルコの掲載機種一覧,98.0% 〜 110.2%,2018/06/04(月),「まめ」に続くインパクトAタイプの第2弾となる「ちゃぶ台返し」。  ボーナスの獲得枚数はBIGが312枚、REGが104枚。いずれも技術介入一切なしで消化できるところがポイントといえる。  ボーナス当選時は完全告知。お父さん（パンダ）がちゃぶ台をひっくり返すという衝撃の告知を筆頭に、光ればボーナスとなる「BAKAも〜んランプ」などユニークな演出が豊富に搭載されている。
パチスロ天元突破グレンラガン極,https://p-town.dmm.com/upload/machines/3146/image.jpg?t=1524552282,https://p-town.dmm.com/upload/machines/3146/image.jpg?t=1524552282,スパイキー（メーカー公式サイト）  スパイキーの掲載機種一覧,97.6% 〜 114.1%,2018/06/04(月),ボーナス後にRTに突入するボーナス＋RTタイプ。RTは100G、200G、無限の3種類があり、RT突入時の出目でRTのゲーム数がわかる。BIGは約308枚獲得できるので、RTとループすれば大量出玉の獲得も十分に可能だ。  ボーナスは残り10枚未満（フリーズ+暗転）になったら逆押し3連V狙いを終了まで実践しよう。
パチスロディスクアップ,https://p-town.dmm.com/upload/machines/3148/image.jpg?t=1524553047,,サミー  サミーの掲載機種一覧,98.9% 〜 110.0% ※ 完全攻略時,2018/06/04(月),初代ディスクアップのゲーム性を踏襲＆進化させたボーナス＋ARTタイプ。  通常時からのART直行はなく、必ず同色or異色BIGを経由して突入する。  ARTは同色BIG中の技術介入成功で上乗せする「DJ ZONE（DZ）」と通常時の同色BIG（期待度50%）やDZ中のボーナスから突入する「DANCE TIME」の2つ。ボーナスを引くことで両ARTをループさせつつ出玉増加を目指す流れだ。
シークレットハイビスカス,https://p-town.dmm.com/upload/machines/3134/image.jpg?t=1522995625,https://p-town.dmm.com/upload/machines/3134/image.jpg?t=1522995625,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,96.5% 〜 110.1%,2018/05/28(月),挑戦的な25パイ機種をリリースしていくとして発足した「アタック25〜百華繚乱プロジェクト〜」の第2弾。スペックは完全告知のボーナスタイプとなっている。これまでのシリーズとの最大の違いは、告知ランプが従来のハイビスカス点滅ではなく、リール左の小窓内にあるハイビスカスによって告知されるところ。基本的に周囲のプレイヤーからはほぼ気付かれないため、ボーナス当選時は満足感を独占して味わうことができる。
ゆるせぽね,https://p-town.dmm.com/upload/machines/3147/image.jpg?t=1524552666,https://p-town.dmm.com/upload/machines/3147/image.jpg?t=1524552666,ミズホ（メーカー公式サイト）  ミズホの掲載機種一覧,97.8% 〜 113.0%,2018/05/28(月),あの冥王も公認した「ゆるせぽね」。ボーナス合算確率は設定1でも1/99となっており、軽いボーナスの連打で出玉増加を目指していく仕様だ。本機のGOD揃いはボーナスで、消化後はボーナスを引いても終わらない700G固定の超ロングRTへ突入（RT突入はGOD揃い後のみ）。通常時は基本的に目押し不要、ボーナス中の技術介入も簡単で、遊びやすさがしっかりと追求された1台となっている。
秘宝伝Ｒｅｖ．,https://p-town.dmm.com/upload/machines/3135/image.jpg?t=1523347975,https://p-town.dmm.com/upload/machines/3135/image.jpg?t=1523347975,サボハニ（メーカー公式サイト）  サボハニの掲載機種一覧,97.9% 〜 114.3%,2018/05/21(月),通常時は、おもに高確率を契機にARTを目指すといったおなじみの流れ。ARTの性能は純増約1.9枚/G（ボーナス込み）、ゲーム数ではなくライフの増減で管理され、0になると終了する。ライフを回復させつつ、ロング継続を目指そう。  最大の目玉であるRev状態は高確率開始時などに突入する裏モードで、性能が飛躍的にアップした状態。Rev状態への突入が、大量出玉獲得への重要なカギとなる。
マジカルハロウィン6,https://p-town.dmm.com/upload/machines/3107/image.jpg?t=1519807743,https://p-town.dmm.com/upload/machines/3107/image.jpg?t=1519807743,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.7% 〜 110.2%,2018/05/21(月),完全新作ストーリー＆多数の新キャラとともに、マジハロが帰ってくる。基本的な仕様はこれまでと同様で、ボーナスを契機にARTを目指す流れ。ARTは前作までよりも大幅に強化されており、ストック性能は歴代最強クラス。「おみくじシステム」や「ご先祖カボチャンス」などの新たな要素も数多く加わり、もっと楽しくなった「マジカルハロウィン6」。ARTをロング継続させて最大級の出玉を掴み取ろう。
パチスロ大海物語4,https://p-town.dmm.com/upload/machines/3124/image.jpg?t=1521536410,https://p-town.dmm.com/upload/machines/3124/image.jpg?t=1521536410,三洋（メーカー公式サイト）  三洋の掲載機種一覧,98.0% 〜 108.0%,2018/05/07(月),あの大海物語4がボーナス＋RTタイプとなって登場。  ボーナスは2種類あり、BIGは獲得枚数300枚＋RT20G以上、REGは約100枚＋RTのチャンスとなる。  BIG後のRTは最大2段階、1段階目は必ず「チャンスタイム（最大20G）」に移行。消化中にパールが光れば40GのRT「スペシャル魚群タイム」に突入する。REG後は「スペシャル魚群タイム」直行のチャンスだ。
パチスロ楽シーサー30Φ,https://p-town.dmm.com/upload/machines/3118/image.jpg?t=1521023744,https://p-town.dmm.com/upload/machines/3118/image.jpg?t=1521023744,SANKYO（メーカー公式サイト）  SANKYOの掲載機種一覧,96.9% 〜 110.5%,2018/05/07(月),新たにハイビスカスランプを搭載した沖スロ仕様。  スペックは過去のシリーズ機と同じく完全告知のボーナスタイプで、設定1でも50枚あたりのベースが35G以上、ボーナス合算1/179と遊びやすくなっているところがポイント。  ハイビスカスランプ点灯でボーナス…という明快な告知パターンや、視認性がアップしたワイドリールなど、スペック面以外でも楽シー工夫が凝らされている。
パチスロFAIRYTAIL,https://p-town.dmm.com/upload/machines/3129/image.jpg?t=1522230016,https://p-town.dmm.com/upload/machines/3129/image.jpg?t=1522230016,藤商事（メーカー公式サイト）  藤商事の掲載機種一覧,97.1% 〜 115.3%,2018/05/07(月),「パチスロ FAIRY TAIL」はボーナス＋ARTタイプ。通常時はCZやボーナスからARTへ突入させるゲーム性だ。  ART「FAIRY TIME」は、前半パート（30or100G＋α）＋後半パート（ゲーム数不定）で構成され、1Gあたりの純増は約2.0枚（ボーナス込み）。前半でレア役などにより、仲間を多くストックするほど、後半パートでのバトルの勝率が高まる仕組みだ。
パチスロ北斗の拳修羅の国篇羅刹ver.,https://p-town.dmm.com/upload/machines/3127/image.jpg?t=1529382569,https://p-town.dmm.com/upload/machines/3127/image.jpg?t=1529382569,サミー  サミーの掲載機種一覧,97.2% 〜 115.1%,2018/05/07(月),GRTタイプ第2弾、「パチスロ北斗の拳 修羅の国篇 羅刹ver.」はすべてのボーナス後に100GのRTへ突入。最大300枚獲得できるボーナスを搭載しているだけでなく、BIG偏向型のスペックのため、まとまった出玉を得やすいところも魅力的。  中押しと順押しで演出とリーチ目といったボーナス察知のバランスが異なることやRT中の演出を4種類から選択できることなど、演出・打ち方でも存分に楽しめる1台だ。
SLOTパックマン,https://p-town.dmm.com/upload/machines/3130/image.jpg?t=1522230448,https://p-town.dmm.com/upload/machines/3130/image.jpg?t=1522230448,メーシー（メーカー公式サイト）  メーシーの掲載機種一覧,97.7% 〜 111.1%,2018/04/23(月),世界的ヒットを記録した人気ゲーム「パックマン」が、バンダイナムコとユニバーサルの共同開発によるファミスロとして登場。30〜40代のプレイヤーにとっては懐かしさと楽しさが両立したコンテンツといえるだろう。  スペックはほぼ技術介入のない完全告知のボーナスタイプ。告知時の約95%で違和感演出（総数89通り）が発生するため、わかりやすさだけでなく、ゲーム感覚で違和感を探す面白さも味わうことができる。
不二子TYPEA＋,https://p-town.dmm.com/upload/machines/3088/image.jpg?t=1517815389,https://p-town.dmm.com/upload/machines/3088/image.jpg?t=1517815389,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,97.9% 〜 108.1% ※ 完全攻略時,2018/04/16(月),SUPER BIG（最大402枚）とREG（最大103枚）は技術介入をおこなうことで最大枚数を獲得できる。BIGは運と打ち方で獲得枚数が変化し、平均は350枚。  BIGとREG後はRTチャレンジ（BIG後5G、REG後1G）に移行し、特殊リプレイを引ければ30GのRT「不二子TIME」に突入。SUPER BIG後は必ずRTに移行し、消化中に特殊リプレイを引くとRTがリスタートする。
パチスロこれはゾンビですか？,https://p-town.dmm.com/upload/machines/3090/image.jpg?t=1518164953,https://p-town.dmm.com/upload/machines/3090/image.jpg?t=1518164953,北電子（メーカー公式サイト）  北電子の掲載機種一覧,97.9% 〜 108.2%,2018/04/09(月),通常時はレア役やボーナス、ゾンビ目から突入するCZを契機にARTを目指すゲーム性。3種類あるボーナスは、いずれも技術介入なしで最大枚数を獲得でき、当選時や消化中のゾンビ目でCZorART抽選をおこなう。  ART「めっちゃフェスティボー」は、1セット約40Gで1Gあたりの純増約1.9枚（ボーナス込み）のセット数ストック&継続率管理。セット数ストックの特化ゾーンといったトリガーも搭載している。
